목적지명_통합,목적지X좌표,목적지Y좌표,표시용행정구역,방문건수,구분
와플대학/공주신관캠퍼스,127.13753467893,36.472478320021,신관동,1.0,월요일
왕가장수촌,127.335999970109,36.3547126459586,대전광역시 유성구,1.0,월요일
왕관빌딩,127.3127841162894,36.498097021101344,세종특별자치시,1.0,월요일
왕천파닭/동남지구점,127.517408837592,36.6154496180296,충청북도 청주시 상당구,1.0,월요일
왕촌어버이의집,127.170921036839,36.4232341302956,옥룡동,1.0,월요일
용곡스크린골프존,127.14508452741556,36.79325948134991,충청남도 천안시 동남구,1.0,월요일
우리들약국,127.132701806669,36.4690342402626,신관동,3.0,월요일
우리면옥,127.120536336807,36.4562856235927,중학동,2.0,월요일
우리이비인후과의원,127.14200648810034,36.47414482268571,신관동,1.0,월요일
우림칼국수/산남점,127.46942736672982,36.61310980981346,충청북도 청주시 서원구,1.0,월요일
우성관/[중식],127.051236828833,36.4702003015097,우성면,3.0,월요일
우성해물칼국수,127.08952104581766,36.476363906568295,우성면,3.0,월요일
우시장국밥,127.134118342255,36.4695897407109,신관동,10.0,월요일
우탕가마,127.139617770877,36.4787276192756,신관동,1.0,월요일
웃음가든,127.21983277258902,36.500293348724014,세종특별자치시,1.0,월요일
웅진식당,127.133368413986,36.4690342441485,신관동,1.0,월요일
워터사이드,126.788071972521,36.6152553533403,충청남도 예산군,1.0,월요일
원조설악추어탕,127.12288235473363,36.46375969932184,웅진동,4.0,월요일
월랑성당,127.079594374651,36.8404998486929,충청남도 아산시,1.0,월요일
월송석산,127.161365903072,36.4710897287929,월송동,1.0,월요일
웰빙카페지압안마원,127.029179268844,37.237353366603,경기도 수원시 권선구,1.0,월요일
유구매운탕,126.953864461585,36.5551626743952,유구읍,1.0,월요일
